Category,Country,Name,Research area,Start Year
I kategorija,АУСТРИЈА,Anzeiger für Slavische Philologie,Jезик и књижевност,1966.
I kategorija,БЕЛОРУСИЈА,Беларуская лінгвістыка,Језик,1976.
I kategorija,БУГАРСКА,Старобългарска литература,Књижевност,1971.
I kategorija,БУГАРСКА,Българска етнология,Jезик и књижевност,1975.
I kategorija,БУГАРСКА,"Български фолклор. Списание за фолклористични, антроположки и етноложки изследвания",Jезик и књижевност,1975.
I kategorija,БУГАРСКА,Palaeobulgarica / Старобългаристика,Језик,1977.
I kategorija,БУГАРСКА,Съпоставително езикознание,Језик,1976.
I kategorija,ВЕЛИКА БРИТАНИЈА,Slavonic & East European review,Разно,1922.
I kategorija,ИТАЛИЈА,Ricerche slavistiche,Разно,1952.
I kategorija,ИТАЛИЈА,Europa Orientalis. Studies and researches on Eastern European countries,Jезик и књижевност,2000.
I kategorija,ЈАПАН,"Slavic Studies — Hokkaido University, Japan",Разно,1957.
I kategorija,КАНАДА,Canadian Slavonic Papers / Revue Canadienne des Slavistes,Разно,1956.
I kategorija,ЛИТВАНИЈА,Slavistica Vilnensis,Језик,1958.
I kategorija,МАКЕДОНИЈА,Македонистика,Језик,1977.
I kategorija,МАКЕДОНИЈА,Спектар,Књижевност,1983.
I kategorija,НЕМАЧКА,Zeitschrift für Slavische Philologie,Jезик и књижевност,1924.
I kategorija,НЕМАЧКА,Die Welt der Slaven,Jезик и књижевност,1956.
I kategorija,ПОЉСКА,Pamiętnik Literacki,Књижевност,1902.
I kategorija,ПОЉСКА,Slavia Occidentalis,Jезик и књижевност,1921.
I kategorija,ПОЉСКА,Slavia Orientalis,Jезик и књижевност,1953.
I kategorija,ПОЉСКА,Studia Kognitywne – Cognitive Studies,Језик,1994.
I kategorija,РУМУНИЈА,Romanoslavica,Разно,1958.
I kategorija,РУМУНИЈА,Probleme de filologie slavă,Језик,1991.
I kategorija,РУСИЈА,Ученые записки Казанского университета. Серия: Гуманитарные науки,Разно,1834.
I kategorija,РУСИЈА,Русский язык в школе,Језик,1914.
I kategorija,РУСИЈА,Известия Российской академии наук. Серия литературы и языка,Jезик и књижевност,1940.
I kategorija,РУСИЈА,Вестник Московского государственного лингвистического университета,Језик,1940.
I kategorija,РУСИЈА,Вестник Санкт-Петербургского университета. Серия 9. Филология.,Разно,2025
I kategorija,РУСИЈА,Вопросы языкознания,Језик,1952.
I kategorija,РУСИЈА,Журнал критики и литературоведения «Вопросы литературы»,Књижевност,1957.
I kategorija,РУСИЈА,Русский язык за рубежом,Језик,1967.
I kategorija,РУСИЈА,Вестник Пермского университета. Российская и зарубежная филология,Jезик и књижевност,1994.
I kategorija,РУСИЈА,Живая старина,Jезик и књижевност,1994.
I kategorija,РУСИЈА,Славянский альманах,Jезик и књижевност,1997.
I kategorija,РУСИЈА,Индоевропейское языкознание и классическая филология,Језик,1998.
I kategorija,РУСИЈА,Вопросы филологии,Језик,1999.
I kategorija,САД,Slavic Review,Разно,1941.
I kategorija,СЛОВЕНИЈА,Slavistična revija,Jезик и књижевност,1948.
I kategorija,СЛОВЕНИЈА,Slovenski jezik – Slovene Linguistic Studies,Језик,1997.
I kategorija,СРБИЈА,Јужнословенски филолог,Језик,1913.
I kategorija,СРБИЈА,Зборник Матице српске за књижевност и језик,Jезик и књижевност,1953.
I kategorija,СРБИЈА,Зборник Матице српске за филологију и лингвистику,Језик,1957.
I kategorija,СРБИЈА,Књижевна историја,Књижевност,1968.
I kategorija,СРБИЈА,"Српски језик, студије српске и словенске",Језик,1996.
I kategorija,СРБИЈА,"Прилози за књижевност, језик, историју и фолклор",Jезик и књижевност,1921.
I kategorija,ФРАНЦУСКА,La Revue des études slaves,Разно,1921.
I kategorija,ХОЛАНДИЈА,Russian Linguistics,Језик,1974.
I kategorija,ХОЛАНДИЈА,Russian Literature,Kњижевност,1971.
I kategorija,ХРВАТСКА,Radovi Staroslavenskog instituta,Jезик и књижевност,1952.
I kategorija,ХРВАТСКА,Filologija,Језик,1957.
I kategorija,ХРВАТСКА,Umjetnost riječi: časopis za znanost o književnosti,Књижевност,1957.
I kategorija,ХРВАТСКА,Narodna umjetnost: hrvatski časopis za etnologiju i folkloristiku,Разно,1962.
I kategorija,ХРВАТСКА,Suvremena lingvistika,Језик,1966.
I kategorija,ХРВАТСКА,Јezikoslovlje,Језик,1998.
I kategorija,УКРАЈИНА,Мовознавство : науково-теоретичний журнал,Језик,1967.
I kategorija,ЧЕШКА,"Slavia, časopis pro slovanskou filologii",Језик и књижевност,1922.
I kategorija,ЧЕШКА,Slovo a slovesnost,Језик,1935.
I kategorija,ЧЕШКА,Byzantinoslavica,Разно,1929.
I kategorija,ЧЕШКА,Opera slavica. Slavistické rozhledy,Језик и књижевност,1991.
I kategorija,ЧЕШКА,Rossica olomucensia. Časopis pro ruskou a slovanskou filologii,Језик и књижевност,1968.
I kategorija,ШВЕДСКА,Scando-Slavica,Књижевност,1954.
II kategorija,АУСТРИЈА,Wiener Slawistischer Almanach,Jезик и књижевност,1987.
II kategorija,БЕЛОРУСИЈА,Весці Нацыянальнай акадэміі навук. Серыя гуманітарных,Разно,1956.
II kategorija,БЕЛОРУСИЈА,Веснік БДУ. Серыя 4. Філагогія. Журналістыка. Педагогіка,Jезик и књижевност,1969.
II kategorija,БЕЛОРУСИЈА,Роднае слова,Разно,1988.
II kategorija,БОСНА И ХЕРЦЕГОВИНА,Radovi Filozofskog fakulteta Univerziteta u Istočnom Sarajevu - filološke nauke,Jезик и књижевност,1998.
II kategorija,БОСНА И ХЕРЦЕГОВИНА,Novi izraz,Књижевност,1998.
II kategorija,БОСНА И ХЕРЦЕГОВИНА,Književni jezik,Jeзик,2003.
II kategorija,БУГАРСКА,Език и литература,Jезик и књижевност,1946.
II kategorija,БУГАРСКА,Български език,Језик,1951.
II kategorija,БУГАРСКА,Балканско езикознание/Linguistique balkanique,Језик,1959.
II kategorija,БУГАРСКА,Кирило-Методиевски студии,Разно,1984.
II kategorija,БУГАРСКА,Българска реч,Разно,1995.
II kategorija,БУГАРСКА,Българская русистика,Jезик и књижевност,2000.
II kategorija,ВЕЛИКА БРИТАНИЈА,Slavonica,Разно,1983.
II kategorija,ВЕЛИКА БРИТАНИЈА,Central Europe,ЈК,1997.
II kategorija,ГРЧКА,Fragmenta Hellenoslavica,Jезик и књижевност,2014.
II kategorija,ИТАЛИЈА,Russica romana,Разно,1994.
II kategorija,ИТАЛИЈА,Slavica Tergestina,Разно,1994.
II kategorija,ИТАЛИЈА,eSamizdat - Rivista di culture dei paesi slavi,Књижевност,2003.
II kategorija,ИТАЛИЈА,Studi Slavistici,Jезик и књижевност,2014.
II kategorija,КАНАДА,Canadian-American Slavic Studies,Разно,1967.
II kategorija,МАКЕДОНИЈА,Литературен збор,Jезик и књижевност,1954.
II kategorija,МАКЕДОНИЈА,Македонски јазик,Језик,1950.
II kategorija,МАКЕДОНИЈА,Прилози на одделение за лингвистика и книжевна наука,Jезик и књижевност,1976.
II kategorija,МАКЕДОНИЈА,Славистички студии,Jезик и књижевност,1976.
II kategorija,МАКЕДОНИЈА,Context / Контекст,Књижевност,1995.
II kategorija,МАКЕДОНИЈА,Filološke studije,Jезик и књижевност,2002.
